4,4.5
4,4
3.5,4
4,5.25
4,6.75
4.95,6
3.2,6
4.95,5.2
4.95,6.75
3.2,5.25
3.2,6.75
5.2,6
6,6
6.9,6
6,3.5
6,4
6,4.5
5,2.75
6,2
6.5,1.5
3,2
3,1
4,3
5,2
1,1.5
1,2
1,3
2,4
2.5,3.5
2.5,4.5
1.2,6.8
2,6
2.7,6.3
2.9,5.2
14,4.5
14,4
13.5,4
14,5.25
14,6.75
14.95,6
13.2,6
14.95,5.2
14.95,6.75
13.2,5.25
13.2,6.75
15.2,6
16,6
16.9,6
16,3.5
16,4
16,4.5
15,2.75
16,2
16.5,1.5
13,2
13,1
14,3
15,2
11,1.5
11,2
11,3
12,4
12.5,3.5
12.5,4.5
11.2,6.8
12,6
12.7,6.3
12.9,5.2
